Type,Strike,Moneyness,Open,High,Low,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Time
Call,105.00,+68.09%,228.50,229.00,228.50,229.00,0.00,unch,0,114,0.00,59.31%,01/03/22
Call,110.00,+66.57%,216.90,216.90,216.90,216.90,0.00,unch,0,84,0.00,58.47%,12/16/21
Call,115.00,+65.05%,224.65,225.20,224.50,225.00,0.00,unch,0,8,0.00,54.83%,11/16/21
Call,120.00,+63.53%,223.70,223.70,223.69,223.69,0.00,unch,0,411,0.00,57.11%,12/29/21
Call,125.00,+62.01%,199.50,199.50,199.50,199.50,0.00,unch,0,147,0.00,54.64%,12/21/21
Call,130.00,+60.49%,198.10,198.10,198.00,198.00,-7.20,-3.51%,50,256,0.20,53.81%,01/04/22
Call,135.00,+58.97%,202.00,202.00,202.00,202.00,0.00,unch,0,140,0.00,51.95%,12/09/21
Call,140.00,+57.45%,191.90,191.90,191.90,191.90,0.00,unch,0,157,0.00,51.69%,12/22/21
Call,145.00,+55.93%,180.64,180.64,180.64,180.64,0.00,unch,0,58,0.00,50.35%,12/17/21
Call,150.00,+54.41%,187.00,187.00,187.00,187.00,0.00,unch,0,442,0.00,46.85%,12/31/21
Call,155.00,+52.89%,188.90,188.90,188.90,188.90,0.00,unch,0,424,0.00,46.57%,12/13/21
Call,160.00,+51.37%,175.00,175.00,175.00,175.00,1.00,+0.57%,1,"1,863",0.00,46.32%,01/04/22
Call,165.00,+49.85%,171.00,171.00,171.00,171.00,0.00,unch,0,570,0.00,45.13%,01/03/22
Call,170.00,+48.33%,162.20,162.20,162.20,162.20,0.00,unch,0,354,0.00,43.94%,12/15/21
Call,175.00,+46.81%,155.80,155.80,155.17,155.17,-10.63,-6.41%,11,172,0.06,44.56%,01/04/22
Call,180.00,+45.29%,151.93,151.93,150.00,150.00,-13.58,-8.30%,11,791,0.01,35.92%,01/04/22
Call,185.00,+43.77%,147.70,147.70,147.70,147.70,-1.75,-1.17%,16,383,0.04,42.97%,01/04/22
Call,190.00,+42.25%,147.72,147.78,147.72,147.78,0.00,unch,0,243,0.00,42.84%,01/03/22
Call,195.00,+40.73%,140.90,140.90,140.90,140.90,0.00,unch,0,221,0.00,42.16%,01/03/22
Call,200.00,+39.21%,136.84,136.84,131.90,131.90,-6.80,-4.90%,4,"2,025",0.00,41.88%,01/04/22
Call,205.00,+37.69%,142.65,142.65,142.65,142.65,0.00,unch,0,771,0.00,40.56%,12/27/21
Call,210.00,+36.17%,130.95,130.95,127.75,128.30,0.00,unch,0,"1,619",0.00,40.10%,01/03/22
Call,215.00,+34.65%,128.00,128.00,128.00,128.00,0.00,unch,0,"1,042",0.00,39.53%,12/31/21
Call,220.00,+33.13%,119.54,119.54,116.42,116.42,-4.58,-3.79%,8,"2,816",0.00,38.70%,01/04/22
Call,225.00,+31.61%,114.49,115.70,114.49,115.70,0.00,unch,0,"1,721",0.00,37.93%,01/03/22
Call,230.00,+30.09%,104.86,105.05,104.78,104.78,-6.94,-6.21%,25,"2,514",0.01,37.37%,01/04/22
Call,235.00,+28.57%,103.00,103.00,103.00,103.00,-3.04,-2.87%,2,"1,329",0.00,36.17%,01/04/22
Call,240.00,+27.05%,99.90,99.90,96.50,96.60,-9.47,-8.93%,3,"1,337",0.00,36.08%,01/04/22
Call,245.00,+25.53%,97.79,98.10,97.50,97.50,0.00,unch,0,"3,934",0.00,35.62%,01/03/22
Call,250.00,+24.01%,89.00,89.47,88.40,89.47,-5.03,-5.32%,6,"3,422",0.00,33.27%,01/04/22
Call,255.00,+22.49%,85.00,85.00,85.00,85.00,-0.71,-0.83%,2,"2,098",0.00,34.64%,01/04/22
Call,260.00,+20.98%,87.10,87.10,81.50,81.50,-5.70,-6.54%,3,"2,518",0.00,34.34%,01/04/22
Call,265.00,+19.46%,82.66,82.66,76.10,78.50,-4.60,-5.54%,24,"1,035",0.02,32.89%,01/04/22
Call,270.00,+17.94%,76.00,76.07,73.35,76.00,-2.50,-3.18%,12,"7,672",0.00,33.73%,01/04/22
Call,275.00,+16.42%,74.45,74.59,69.33,69.55,-4.95,-6.64%,157,"2,142",0.07,32.79%,01/04/22
Call,280.00,+14.90%,67.58,67.58,65.50,65.50,-5.40,-7.62%,3,"3,210",0.00,32.86%,01/04/22
Call,285.00,+13.38%,62.38,62.38,62.38,62.38,-5.32,-7.86%,1,"1,142",0.00,32.05%,01/04/22
Call,290.00,+11.86%,62.53,62.53,59.50,60.97,-4.07,-6.26%,20,"2,118",0.01,31.32%,01/04/22
Call,295.00,+10.34%,61.00,61.00,56.00,58.34,-5.56,-8.70%,18,425,0.04,31.54%,01/04/22
Call,300.00,+8.82%,57.50,57.60,52.85,55.19,-2.86,-4.93%,95,"6,995",0.01,31.24%,01/04/22
Call,305.00,+7.30%,50.00,52.00,50.00,52.00,-2.62,-4.80%,30,828,0.04,30.83%,01/04/22
Call,310.00,+5.78%,50.90,51.40,47.00,49.00,-1.89,-3.71%,39,"2,540",0.02,30.51%,01/04/22
Call,315.00,+4.26%,48.15,48.55,44.65,44.65,-4.00,-8.22%,6,"1,815",0.00,29.06%,01/04/22
Call,320.00,+2.74%,44.40,44.40,41.31,43.42,-2.83,-6.12%,239,"5,698",0.04,29.97%,01/04/22
Call,325.00,+1.22%,43.50,43.50,38.77,39.40,-4.15,-9.53%,55,"3,281",0.02,29.71%,01/04/22
Call,330.00,-0.30%,41.95,41.95,36.21,38.42,-2.08,-5.14%,70,"3,669",0.02,29.60%,01/04/22
Call,335.00,-1.82%,39.09,39.09,33.75,35.34,-2.97,-7.75%,"2,377","4,863",0.49,28.86%,01/04/22
Call,340.00,-3.34%,36.45,36.45,31.50,33.30,-2.30,-6.46%,289,"6,906",0.04,28.85%,01/04/22
Call,345.00,-4.86%,32.95,33.50,29.59,30.00,-2.70,-8.26%,27,"5,390",0.01,27.81%,01/04/22
Call,350.00,-6.38%,31.90,31.90,27.31,28.90,-2.25,-7.22%,128,"4,835",0.03,28.35%,01/04/22
Call,355.00,-7.90%,28.25,28.40,25.15,25.95,-2.85,-9.90%,52,"4,398",0.01,27.43%,01/04/22
Call,360.00,-9.42%,26.95,26.95,23.60,24.75,-1.93,-7.23%,132,"3,000",0.04,27.76%,01/04/22
Call,365.00,-10.94%,22.37,22.37,22.02,22.30,-2.52,-10.15%,23,"1,048",0.02,27.06%,01/04/22
Call,370.00,-12.46%,22.40,22.40,20.10,21.50,-1.50,-6.52%,33,"6,115",0.01,27.57%,01/04/22
Call,375.00,-13.98%,21.47,21.47,19.32,19.65,-2.00,-9.24%,146,"2,055",0.07,27.20%,01/04/22
Call,380.00,-15.50%,19.19,19.31,17.45,18.10,-1.70,-8.59%,7,"1,292",0.01,26.99%,01/04/22
Call,385.00,-17.02%,15.85,16.84,15.85,16.84,-0.81,-4.59%,6,"1,047",0.01,26.95%,01/04/22
Call,390.00,-18.54%,16.68,16.68,14.50,14.74,-2.06,-12.26%,86,"2,334",0.04,26.80%,01/04/22
Call,395.00,-20.06%,14.07,14.07,13.65,13.65,-1.58,-10.37%,2,924,0.00,26.10%,01/04/22
Call,400.00,-21.58%,14.00,14.25,12.15,13.20,-1.17,-8.14%,872,"4,216",0.21,26.57%,01/04/22
Call,405.00,-23.10%,13.00,13.00,13.00,13.00,-0.95,-6.81%,8,885,0.01,26.19%,01/04/22
Call,410.00,-24.62%,11.91,11.91,10.48,10.48,-1.42,-11.93%,9,"1,448",0.01,26.41%,01/04/22
Call,415.00,-26.14%,10.90,11.30,9.40,9.40,-1.65,-14.93%,53,"2,668",0.02,26.49%,01/04/22
Call,420.00,-27.66%,10.33,10.33,9.00,9.00,-1.25,-12.20%,2,"2,107",0.00,25.73%,01/04/22
Call,425.00,-29.18%,9.40,9.40,9.40,9.40,-0.15,-1.57%,1,989,0.00,26.87%,01/04/22
Call,430.00,-30.70%,8.65,8.65,7.32,7.46,-1.34,-15.23%,91,795,0.11,25.47%,01/04/22
Call,435.00,-32.21%,8.00,8.00,8.00,8.00,0.00,unch,0,"2,330",0.00,25.47%,01/03/22
Call,440.00,-33.73%,6.25,6.83,6.25,6.83,-1.18,-14.73%,6,408,0.01,26.07%,01/04/22
Call,450.00,-36.77%,6.30,6.30,5.30,5.55,-0.75,-11.90%,31,"5,567",0.01,25.70%,01/04/22
Call,460.00,-39.81%,4.95,4.95,4.95,4.95,-0.35,-6.60%,4,707,0.01,26.05%,01/04/22
Call,470.00,-42.85%,3.95,3.95,3.90,3.90,-0.45,-10.34%,2,282,0.01,25.55%,01/04/22
Call,480.00,-45.89%,4.18,4.18,4.18,4.18,0.00,unch,0,602,0.00,25.88%,12/31/21
Call,490.00,-48.93%,3.00,3.00,3.00,3.00,-0.60,-16.67%,15,294,0.05,25.98%,01/04/22
Call,500.00,-51.97%,2.70,2.70,2.58,2.64,-0.31,-10.51%,5,462,0.01,26.20%,01/04/22
Call,520.00,-58.05%,2.22,2.35,1.98,2.21,-0.03,-1.34%,65,570,0.11,27.00%,01/04/22
Put,105.00,-68.09%,0.57,0.58,0.54,0.54,-0.08,-12.90%,488,"4,176",0.12,51.88%,01/04/22
Put,110.00,-66.57%,2.12,2.12,0.58,0.61,0.00,unch,0,"2,475",0.00,49.12%,12/31/21
Put,115.00,-65.05%,2.24,2.25,0.69,0.76,0.00,unch,0,"1,262",0.00,48.47%,12/31/21
Put,120.00,-63.53%,0.90,0.90,0.90,0.90,0.00,unch,0,"2,108",0.00,48.42%,12/28/21
Put,125.00,-62.01%,1.80,1.80,1.14,1.22,0.00,unch,0,"2,186",0.00,47.16%,12/28/21
Put,130.00,-60.49%,1.28,1.28,0.87,1.11,-0.28,-20.14%,26,"1,812",0.01,47.86%,01/04/22
Put,135.00,-58.97%,2.30,2.30,1.63,1.63,0.00,unch,0,831,0.00,46.80%,12/27/21
Put,140.00,-57.45%,1.48,1.48,1.48,1.48,0.00,unch,0,859,0.00,46.00%,12/31/21
Put,145.00,-55.93%,1.32,1.32,1.32,1.32,0.00,unch,0,660,0.00,46.00%,12/29/21
Put,150.00,-54.41%,1.50,1.70,1.50,1.70,0.05,+3.03%,3,"4,026",0.00,44.42%,01/04/22
Put,155.00,-52.89%,2.30,2.30,2.30,2.30,0.00,unch,0,"2,071",0.00,44.33%,12/21/21
Put,160.00,-51.37%,2.05,2.15,2.05,2.15,0.05,+2.38%,5,"1,998",0.00,43.14%,01/04/22
Put,165.00,-49.85%,2.70,2.70,2.70,2.70,0.00,unch,0,"1,043",0.00,42.79%,12/22/21
Put,170.00,-48.33%,2.56,2.58,2.56,2.58,0.00,unch,0,"3,302",0.00,42.11%,01/03/22
Put,175.00,-46.81%,2.80,2.80,2.80,2.80,0.00,unch,0,"2,779",0.00,41.33%,01/03/22
Put,180.00,-45.29%,3.25,3.30,3.20,3.20,0.10,+3.23%,37,"2,926",0.01,40.37%,01/04/22
Put,185.00,-43.77%,3.50,3.95,3.50,3.95,0.00,unch,0,"2,646",0.00,40.01%,12/22/21
Put,190.00,-42.25%,3.95,3.95,3.95,3.95,0.35,+9.72%,1,"4,372",0.00,39.30%,01/04/22
Put,195.00,-40.73%,5.22,5.22,5.22,5.22,0.00,unch,0,"3,054",0.00,38.78%,12/21/21
Put,200.00,-39.21%,4.80,4.80,4.30,4.60,0.36,+8.49%,34,"6,098",0.01,37.75%,01/04/22
Put,205.00,-37.69%,4.85,4.85,4.85,4.85,0.00,unch,0,"1,378",0.00,37.60%,12/30/21
Put,210.00,-36.17%,5.65,5.65,5.50,5.60,0.25,+4.67%,7,"6,507",0.00,36.76%,01/04/22
Put,215.00,-34.65%,5.80,5.80,5.80,5.80,0.36,+6.62%,2,"2,099",0.00,35.62%,01/04/22
Put,220.00,-33.13%,6.85,6.85,6.85,6.85,0.40,+6.20%,1,"4,512",0.00,35.95%,01/04/22
Put,225.00,-31.61%,7.00,7.40,7.00,7.40,0.60,+8.82%,9,"2,748",0.00,35.31%,01/04/22
Put,230.00,-30.09%,7.90,8.00,7.50,8.00,0.35,+4.58%,3,"3,031",0.00,34.70%,01/04/22
Put,235.00,-28.57%,8.64,8.80,8.64,8.80,0.90,+11.39%,12,"2,623",0.00,34.33%,01/04/22
Put,240.00,-27.05%,8.80,9.50,8.80,9.50,0.20,+2.15%,2,"5,933",0.00,33.74%,01/04/22
Put,245.00,-25.53%,9.70,10.30,9.70,10.25,0.55,+5.67%,21,"1,779",0.01,33.17%,01/04/22
Put,250.00,-24.01%,10.60,11.40,10.40,11.35,0.85,+8.10%,62,"3,994",0.02,32.97%,01/04/22
Put,255.00,-22.49%,11.65,11.65,11.65,11.65,0.00,unch,0,"2,816",0.00,32.71%,01/03/22
Put,260.00,-20.98%,12.90,13.48,12.90,13.48,0.78,+6.14%,37,"3,522",0.01,32.23%,01/04/22
Put,265.00,-19.46%,14.36,14.55,14.36,14.55,0.80,+5.82%,32,"2,466",0.01,31.76%,01/04/22
Put,270.00,-17.94%,14.50,16.34,14.50,16.34,1.74,+11.92%,2,"2,520",0.00,31.96%,01/04/22
Put,275.00,-16.42%,16.90,17.32,16.90,17.32,1.47,+9.27%,13,"5,335",0.00,31.25%,01/04/22
Put,280.00,-14.90%,18.20,18.75,18.20,18.50,0.85,+4.82%,33,"2,399",0.01,30.69%,01/04/22
Put,285.00,-13.38%,18.80,20.06,18.80,20.06,1.41,+7.56%,3,"2,569",0.00,30.41%,01/04/22
Put,290.00,-11.86%,21.12,21.70,21.12,21.55,1.15,+5.64%,12,"2,351",0.01,29.99%,01/04/22
Put,295.00,-10.34%,22.00,22.00,21.70,21.70,0.00,unch,0,"1,890",0.00,29.65%,01/03/22
Put,300.00,-8.82%,23.80,25.03,23.80,24.85,1.38,+5.88%,88,"5,037",0.02,29.23%,01/04/22
Put,305.00,-7.30%,25.95,25.95,25.10,25.10,0.00,unch,0,904,0.00,29.35%,01/03/22
Put,310.00,-5.78%,26.98,28.69,26.60,28.69,1.54,+5.67%,7,"1,498",0.00,28.62%,01/04/22
Put,315.00,-4.26%,30.60,31.28,30.60,31.28,2.18,+7.49%,2,"1,331",0.00,28.72%,01/04/22
Put,320.00,-2.74%,33.30,33.30,33.30,33.30,2.20,+7.07%,4,"1,997",0.00,28.30%,01/04/22
Put,325.00,-1.22%,33.74,36.00,33.74,35.27,1.37,+4.04%,38,453,0.08,27.77%,01/04/22
Put,330.00,+0.30%,37.25,38.80,37.25,37.42,1.77,+4.96%,20,"1,970",0.01,27.31%,01/04/22
Put,335.00,+1.82%,38.10,40.50,38.10,40.50,2.61,+6.89%,7,943,0.01,27.47%,01/04/22
Put,340.00,+3.34%,42.83,42.83,42.10,42.10,1.52,+3.75%,2,817,0.00,26.44%,01/04/22
Put,345.00,+4.86%,45.00,45.00,44.25,44.25,0.00,unch,0,497,0.00,26.54%,01/03/22
Put,350.00,+6.38%,49.20,49.20,47.85,47.85,1.15,+2.46%,5,"1,267",0.00,26.07%,01/04/22
Put,355.00,+7.90%,45.10,45.10,45.10,45.10,0.00,unch,0,153,0.00,26.11%,12/28/21
Put,360.00,+9.42%,54.59,54.59,54.55,54.55,4.00,+7.91%,2,369,0.01,26.12%,01/04/22
Put,365.00,+10.94%,51.84,51.84,51.84,51.84,0.00,unch,0,207,0.00,25.76%,12/10/21
Put,370.00,+12.46%,54.82,54.82,54.82,54.82,0.00,unch,0,335,0.00,25.47%,12/10/21
Put,375.00,+13.98%,64.00,65.60,64.00,65.60,8.00,+13.89%,51,73,0.70,25.25%,01/04/22
Put,380.00,+15.50%,58.50,58.50,58.50,58.50,0.00,unch,0,61,0.00,25.04%,11/22/21
Put,385.00,+17.02%,67.25,67.25,67.25,67.25,0.00,unch,0,112,0.00,25.34%,11/12/21
Put,390.00,+18.54%,69.90,69.90,69.90,69.90,0.00,unch,0,135,0.00,25.11%,12/31/21
Put,395.00,+20.06%,82.37,82.37,82.37,82.37,0.00,unch,0,86,0.00,24.60%,12/14/21
Put,400.00,+21.58%,80.50,80.50,80.50,80.50,0.00,unch,0,499,0.00,24.43%,01/03/22
Put,405.00,+23.10%,90.22,90.22,90.22,90.22,0.00,unch,0,134,0.00,23.89%,12/14/21
Put,410.00,+24.62%,81.75,81.75,81.75,81.75,0.00,unch,0,108,0.00,23.76%,12/27/21
Put,415.00,+26.14%,89.00,89.00,89.00,89.00,0.00,unch,0,252,0.00,24.06%,12/31/21
Put,420.00,+27.66%,101.60,101.60,101.60,101.60,0.00,unch,0,512,0.00,23.96%,12/02/21
Put,425.00,+29.18%,99.55,99.55,99.55,99.55,0.00,unch,0,5,0.00,23.83%,11/08/21
Put,430.00,+30.70%,104.95,104.95,104.85,104.85,0.00,unch,0,103,0.00,23.90%,01/03/22
Put,435.00,+32.21%,116.09,116.09,116.09,116.09,0.00,unch,0,172,0.00,23.49%,12/06/21
Put,440.00,+33.73%,142.70,142.75,142.65,142.65,0.00,unch,0,164,0.00,22.58%,09/17/21
Put,450.00,+36.77%,117.45,117.45,114.00,114.00,0.00,unch,0,921,0.00,22.73%,12/10/21
Put,460.00,+39.81%,136.60,136.60,136.60,136.60,0.00,unch,0,6,0.00,22.29%,12/15/21
Put,470.00,+42.85%,137.10,137.10,137.10,137.10,0.00,unch,0,1,0.00,23.45%,11/16/21
Put,480.00,+45.89%,163.20,163.20,163.20,163.20,0.00,unch,0,2,0.00,22.37%,12/03/21
Put,490.00,+48.93%,158.00,158.15,158.00,158.15,0.00,unch,0,2,0.00,21.54%,11/09/21
Put,500.00,+51.97%,168.40,168.40,168.40,168.40,0.00,unch,0,99,0.00,22.17%,12/23/21
Put,520.00,+58.05%,189.25,189.40,189.25,189.40,0.00,unch,0,1,0.00,19.93%,12/08/21
"Downloaded from Barchart.com as of 01-05-2022 08:38am CST"
